gene_id	transcript_id.s.	length	effective_length	expected_count	TPM	FPKM
AB074166	uc009wle.2	4851	4668.42	0	0	0
AB074188	uc003jrq.3	2094	1911.42	0	0	0
AB075489	uc021oly.1	2862	2679.42	0	0	0
AB075492	uc021zhg.1	2631	2448.42	3	0.03	0.04
AB209061	uc002dtz.1	4067	3884.42	93.58	0.6	0.78
AB209185	uc003ydc.1	1912	1729.42	0	0	0
AB209315	uc021wef.1	1927	1744.42	0	0	0
AB209621	uc031rzy.1	5446	5263.42	1.01	0	0.01
AB231702	uc001nok.2	877	694.42	0	0	0
AB231703	uc001oco.3	217	48.6	0	0	0
AB231705	uc001pli.1	707	524.42	0	0	0
AB231710	uc001pqd.3	247	72.72	33.08	11.32	14.66
AB231711	uc009yzi.2	153	11.27	0	0	0
AB231721	uc001nne.1	206	40.6	0	0	0
AB231722	uc001nnk.1	158	13.26	0	0	0
AB231723	uc001piq.1	174	20.8	0	0	0
AB231724	uc001phf.3	157	12.85	0	0	0
AB231729	uc001now.2	411	228.81	0	0	0
AB231731	uc001nov.2	529	346.47	0	0	0
AB231739	uc021qjc.1	289	110.27	0	0	0
AB231741	uc021qjd.1	198	35.13	0	0	0
AB231742	uc001njg.1	163	15.43	0	0	0
AB231761	uc001npw.1	143	7.81	0	0	0
AB231779	uc001lxz.1	886	703.42	0	0	0
AB231784	uc001pcz.3	167	17.29	0	0	0
AB240015	uc002bfp.1	590	407.44	0	0	0
AB372727	uc011arw.2	94	0	0	0	0
AB429224	uc009ypx.3	1155	972.42	13	0.33	0.43
AB488780	uc021qqx.1	628	445.43	0	0	0
AB586698	uc021pjs.1	274	96.5	0	0	0
ABAT	uc002czc.4,uc002czd.4,uc010buh.3,uc010bui.3,uc021tcs.1	4814	4631.42	431	2.32	3
ABCA1	uc004bcl.3,uc004bcm.3,uc010mti.1	10502	10319.42	86	0.21	0.27
ABCA10	uc002jhz.3,uc010dfa.1,uc010dfb.1,uc010dfc.1,uc010wqs.1,uc010wqt.1	2704.95	2522.37	226	2.23	2.89
ABCA11P	uc003gac.2,uc003gad.3,uc003gae.3,uc010ibd.2,uc011buv.2	1868.26	1685.68	373.06	5.51	7.13
ABCA12	uc002vev.3,uc002vew.3,uc010zjn.2	8788.33	8605.75	0	0	0
ABCA13	uc003top.2,uc003toq.2,uc003tos.1,uc010kyr.2,uc010kys.2,uc010kyt.1,uc010kyu.1,uc031sxg.1,uc031sxh.1	9161.34	8978.76	256.75	0.71	0.92
ABCA17P	uc002cqa.1,uc002cqb.1,uc002cqc.1	4188	4005.42	1	0.01	0.01
ABCA2	uc004ckl.1,uc004ckm.1,uc004ckn.1,uc004cko.1,uc010nca.3,uc011mem.1,uc022bpy.1,uc022bpz.1,uc022bqa.1	6526.9	6344.32	776.01	3.05	3.94
ABCA3	uc002cpy.1,uc002cpz.1,uc010bsk.1,uc010bsl.1	4285.21	4102.63	1095	6.64	8.6
ABCA4	uc001dqh.3,uc001dqi.1,uc009wdp.1,uc010otn.1	998	815.42	1	0.03	0.04
ABCA5	uc002jib.2,uc002jic.2,uc002jid.2,uc002jie.2,uc002jif.2,uc002jig.2,uc002jih.2,uc010dfe.2	7026.23	6843.65	450	1.64	2.12
ABCA6	uc002jhw.1,uc002jhy.3	5296	5113.42	13	0.06	0.08
ABCA7	uc002lqw.4,uc002lqy.3,uc010dsa.3,uc010dsb.1,uc010dsc.3	5650.35	5467.77	247	1.12	1.46
ABCA8	uc002jhp.3,uc002jhq.3,uc002jhr.3,uc002jhs.3,uc002jht.3,uc010wqq.2,uc010wqr.2	3963.43	3780.85	0	0	0
