"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SECTM1","SECTM1",29.3492887973738,0.923619579402249,1.33431478078798,0.692205162305707,0.488808497270509,0.669248818971541
"SEH1L","SEH1L",964.876923818232,0.326315193061478,0.526448155137706,0.619842979554409,0.535361169194132,0.705399532103542
"SEL1L","SEL1L",1191.93970094688,-0.198471489529182,0.421241283362424,-0.471158685931603,0.637527419201016,0.777805556497511
"SEL1L3","SEL1L3",2773.15676095577,-0.781583968271507,0.57570596883952,-1.35760963160932,0.174587585121831,0.351692568820672
"SELENBP1","SELENBP1",467.264769617987,1.05535141460854,0.466219044341273,2.26363857808439,0.0235963530728507,0.0971470399173863
"SELK","SELK",1110.92757903177,1.83308396648133,0.778775017946725,2.35380427496806,0.0185823925752658,0.0825265263961773
"SELL","SELL",67.5720196432145,-3.18403011042767,1.48280187685367,-2.14730650138088,0.0317688885867134,0.117800259524393
"SELM","SELM",68.7997086415548,1.612207296209,1.29402776814061,1.24588307600661,0.212807324183129,0.397108591584064
"SELO","SELO",102.41618653198,-1.23692047016211,1.10468381830192,-1.11970543034066,0.262839310204764,0.453277485864515
"SELPLG","SELPLG",37.2436052350483,-8.18859276091587,1.52055619156314,-5.38526152887381,7.23393869397226e-08,5.38653028943548e-06
"SELRC1","SELRC1",205.72484026912,-0.0781933801221761,0.695728888694254,-0.11239058977259,0.910513716328024,0.952186904171654
"SELT","SELT",7537.37704710517,2.14364972337809,0.691606901213,3.09952043511766,0.00193834205992826,0.016934806240076
"SEMA3A","SEMA3A",479.066266562627,-1.28574141626301,0.535757347275493,-2.39985773933189,0.0164014446587126,0.0758728450642241
"SEMA3B","SEMA3B",523.912507514028,-0.707793339878945,0.536943899215617,-1.31818862438499,0.187440512614484,0.367638037109489
"SEMA3C","SEMA3C",12026.6607551224,-0.718537513557705,0.366149549677683,-1.96241539608672,0.0497141417271633,0.156795688023169
"SEMA3E","SEMA3E",1727.56026138548,-6.3936639614179,0.943321810233843,-6.77781844123052,1.22004029947198e-11,2.71163199287189e-09
"SEMA3F","SEMA3F",4.21481333439592,-4.6721835974008,2.76826757000919,-1.68776445168025,0.091456454008422,0.232750646053009
"SEMA4A","SEMA4A",85.7062483929173,-1.91461819770302,1.65430261844336,-1.15735668695526,0.247126662300974,0.435814018909952
"SEMA4B","SEMA4B",1691.17730681091,-0.12777840164964,0.62401156948799,-0.204769282970962,0.837752387100096,0.911308102808403
"SEMA4C","SEMA4C",130.17543165734,-4.71764783652028,1.09034735401042,-4.32673846473627,1.51333469537388e-05,0.000438717522656906
"SEMA4D","SEMA4D",153.189549217711,-1.77481980552782,1.12290780704984,-1.58055700956494,0.113979362059113,0.268502210060242
"SEMA4F","SEMA4F",282.029809785749,0.0433121202261833,0.82757692353345,0.0523360656810686,0.958260916424413,0.977723404258866
"SEMA4G","SEMA4G",827.812028342036,-1.32128019853035,0.654563796905039,-2.01856595915896,0.0435323521118583,0.143629346182827
"SEMA5A","SEMA5A",103.198034235374,3.84048524453277,1.11223636921269,3.45293981642706,0.000554512703261185,0.00689975411448114
"SEMA6A","SEMA6A",24.5147657903758,2.58623573304066,1.63224215646077,1.58446816411632,0.113087220825659,0.267000875952291
"SEMA6C","SEMA6C",9.54560494119626,-2.68497466123061,2.2185481542952,-1.21023952355165,0.22618699615504,0.41242298008139
"SEMA7A","SEMA7A",434.844050405267,-2.85659028976366,1.10775493965242,-2.57872042589129,0.00991670089475462,0.0537973688702498
"SEMG1","SEMG1",10.0696023303106,-2.02530654132571,1.43951635269959,-1.40693541794614,0.159446539990066,0.331104373600549
"SENP1","SENP1",611.482004876306,-0.604930745204273,0.498808694374899,-1.21275100459579,0.225225032856839,0.411486611903969
"SENP2","SENP2",863.718180383225,-0.343605786031296,0.4599886356576,-0.746987554464422,0.455071073353416,0.640145528866634
"SENP3","SENP3",135.254591268707,-0.019055995142601,0.560060859801777,-0.034024864992968,0.972857322780564,0.985419421893944
"SENP3-EIF4A1","SENP3-EIF4A1",9595.07933456718,-0.463222801892622,0.48415380538762,-0.956767863306909,0.338684436224658,0.53067314622725
"SENP5","SENP5",742.659969606164,0.608059373115626,0.445501823405521,1.36488638467846,0.172288762208307,0.348438603478065
"SENP6","SENP6",1493.34760676463,-0.734604705827997,0.579054530477563,-1.26862785310072,0.204573825375764,0.387862665689167
"SENP7","SENP7",529.205552850098,0.389326842198313,0.560285728357712,0.694871959954241,0.487135546500026,0.667893385513495
"SENP8","SENP8",79.0572505471462,0.975195577582656,0.847068603385933,1.15125926481582,0.249625590182459,0.438707180547272
"SEP15","SEP15",8153.74022911721,2.22473847871191,0.703896347580172,3.16060523166518,0.00157441722080322,0.0146171684885839
"SEPHS1","SEPHS1",718.484105587891,0.187048587366892,0.516360962737382,0.362243858202007,0.717169807768294,0.833544402991292
"SEPHS2","SEPHS2",395.130113520905,-0.0901579270454338,0.491132326732408,-0.183571559309221,0.854349576304133,0.921577940613879
"SEPN1","SEPN1",1029.89864586998,-3.35489407207155,0.884095231090502,-3.79472024516341,0.000147810022936173,0.0025842970517887
"SEPP1","SEPP1",1134.41484692513,4.07982530446885,0.774178818186678,5.2698746189218,1.36516978360827e-07,9.22842191509204e-06
"SEPSECS","SEPSECS",334.24391505958,-0.0789017654337405,0.789419479456988,-0.0999490986566661,0.920384736384586,0.957664334994093
"SEPT10","SEPT10",2954.83645653391,0.715261064580084,0.559374897775321,1.2786792318081,0.201010036024361,0.383580457625878
"SEPT11","SEPT11",2354.35534389318,-1.14848566587837,0.522613223139482,-2.19758248553128,0.0279788724710236,0.108543115343179
